Mariage,Mari,Femme,Date,Lieu,Source,Note
[Mariage211],[60069],[54856],1983,,,
[Mariage212],[50447],[54916],1993,,,
[Mariage213],[57078],[55146],1949,,,
[Mariage214],[55151],[62045],1964,,,
[Mariage215],[64999],[55176],1960,,,
[Mariage216],[65000],[55227],1957,,,
[Mariage217],[58146],[55253],1956,,,
[Mariage218],[55481],[56667],1952,,,
[Mariage219],[55488],[65001],1941,,,
[Mariage220],[55535],[61291],1905,,,
[Mariage221],[55640],[65002],1906,,,
[Mariage222],[56530],[62393],1950,,,
[Mariage223],[50306],[65007],1931-02-06,,,
[Mariage224],[50306],[65008],1951,,,
[Mariage225],[65012],[65013],,,,
[Mariage226],[65003],[65004],1880,,,
[Mariage227],[65016],[65017],1844,,,
[Mariage228],[65018],[65019],,,,
[Mariage229],[65026],[65028],1775,,,
[Mariage230],[55080],[65031],1957,,,
[Mariage231],[50313],[65036],1937,,,
[Mariage232],[65022],[65038],1894,,,
[Mariage233],[65024],[65040],1840,,,
[Mariage234],[65024],[65041],1856,,,
[Mariage235],[65025],[65043],,,,
[Mariage236],[65020],[65047],1755,,,
[Mariage237],[65020],[65048],1772,,,
[Mariage238],[65027],[65049],1817,,,
[Mariage239],[65050],[65053],1775,,,
[Mariage240],[65055],[65056],,,,
[Mariage241],[65055],[65057],,,,
[Mariage242],[57679],[65059],1980,,,
[Mariage243],[65009],[65060],,,,
[Mariage244],[50320],[65063],1910,,,
[Mariage245],[65064],[65065],,,,
[Mariage246],[65062],[65068],,,,
[Mariage247],[55469],[65071],1917,,,
[Mariage248],[55469],[65072],1927,,,
[Mariage250],[55469],[65073],1942,,,
[Mariage251],[55271],[65077],1980,,,
[Mariage252],[55359],[65076],1937,,,
[Mariage253],[65078],[65079],,,,
[Mariage254],[50789],[65082],1892,,,
[Mariage255],[65080],[65081],,,,
[Mariage256],[65083],[65084],,,,
[Mariage257],[51391],[65086],1911,,,
[Mariage258],[65089],[65087],,,,
[Mariage259],[50876],[65095],1913,,,
[Mariage260],[52473],[65098],1889,,,
[Mariage261],[65096],[65097],1858,,,
[Mariage262],[50253],[65099],1882,,,
[Mariage263],[65101],[65100],,,,
[Mariage264],[65103],[65104],,,,
[Mariage265],[55166],[65106],1950,,,
[Mariage266],[65109],[65110],1897,,,
[Mariage267],[65107],[65108],,,,
[Mariage268],[65111],[65112],,,,
[Mariage269],[57484],[65113],1948,,,
[Mariage270],[51500],[65114],1886,,,
[Mariage271],[65115],[65116],1837,,,
[Mariage272],[65118],[65119],,,,
[Mariage273],[65123],[65124],1826,,,
[Mariage274],[65117],[65122],,,,
[Mariage275],[51503],[65126],1910,,,
[Mariage276],[65129],[65128],,,,
[Mariage277],[55622],[65132],1910,,,
[Mariage278],[55622],[65133],,,,
[Mariage279],[65137],[65138],1838,,,
[Mariage280],[65139],[65140],,,,
[Mariage281],[55392],[65144],1957,,,
[Mariage282],[65143],[65146],,,,
[Mariage283],[55393],[65147],1938,,,
[Mariage284],[52100],[65150],1937,,,
[Mariage285],[65153],[65154],,,,
[Mariage286],[65155],[65156],,,,
[Mariage287],[65157],[65160],1829,,,
[Mariage288],[65157],[65161],1839,,,
[Mariage289],[51423],[65164],1896,,,
[Mariage290],[65151],[65152],,,,
[Mariage291],[65179],[61281],1916,,,
[Mariage292],[52666],[65186],1925,,,
[Mariage293],[65189],[65190],,,,
[Mariage294],[65191],[65193],,,,
[Mariage295],[55416],[65188],1957,,,
[Mariage296],[53362],[65196],1980,,,
[Mariage297],[65199],[65200],,,,
[Mariage298],[55083],[65205],1961,,,
[Mariage299],[65202],[65204],1915,,,
[Mariage300],[65209],[65210],,,,
[Mariage301],[65208],[65211],,,,
[Mariage302],[65212],[65213],1826,,,
[Mariage303],[65214],[65216],,,,
[Mariage304],[65218],[65219],,,,
[Mariage305],[65221],[65222],,,,
[Mariage306],[65224],[65223],1701,,,
[Mariage307],[65224],[65225],1689,,,
[Mariage308],[65227],[65228],1679,,,
[Mariage309],[65227],[65229],1681,,,
[Mariage310],[65230],[65231],,,,
[Mariage311],[65232],[65233],1658,,,
[Mariage312],[65232],[65234],1701,,,
[Mariage313],[65237],[65238],,,,
[Mariage314],[65240],[65241],1794,,,
[Mariage315],[65014],[65242],,,,
[Mariage316],[55767],[65243],1878,,,
[Mariage317],[65245],[65246],1913,,,
[Mariage318],[65245],[65247],1926,,,
[Mariage319],[55770],[65248],1884,,,
[Mariage321],[65254],[65255],,,,
[Mariage322],[65257],[65258],,,,
[Mariage323],[65252],[65253],,,,
[Mariage324],[65262],[65266],1802,,,
[Mariage325],[65268],[65269],1796,,,
[Mariage326],[65272],[65273],,,,
[Mariage327],[65276],[65277],1832,,,
[Mariage328],[65276],[65278],1836,,,
[Mariage329],[65281],[65282],,,,
[Mariage330],[65281],[65283],1768,,,
[Mariage331],[65284],[65285],,,,
[Mariage332],[65045],[65046],,,,
[Mariage333],[65286],[65287],1741,,,
[Mariage334],[65290],[65291],1746,,,
[Mariage335],[65296],[65297],1696,,,
[Mariage336],[65299],[65300],1734,,,
[Mariage337],[65299],[65301],1755,,,
[Mariage338],[65304],[65305],,,,
[Mariage339],[65307],[65308],,,,
[Mariage340],[65309],[65310],1696,,,
[Mariage341],[65309],[65311],1706,,,
[Mariage342],[65312],[65313],,,,
[Mariage343],[65315],[65316],,,,
[Mariage344],[65319],[65320],,,,
[Mariage345],[65321],[65322],,,,
[Mariage346],[65317],[65318],,,,
[Mariage347],[65280],[65330],1802,,,
[Mariage348],[65280],[65331],1809,,,
[Mariage349],[65332],[65333],1719,,,
[Mariage350],[65332],[65334],1722,,,
[Mariage351],[65337],[65338],,,,
[Mariage353],[65345],[65346],1765,,,
[Mariage354],[65348],[65349],,,,
[Mariage355],[65354],[65355],,,,
[Mariage356],[65357],[65359],,,,
[Mariage357],[55103],[65360],1980,,,
[Mariage358],[55103],[65362],2000,,,
[Mariage359],[54823],[65370],1993,,,
[Mariage360],[65368],[65373],1955,,,
[Mariage361],[65371],[65372],,,,
[Mariage362],[54499],[65375],1954,,,
[Mariage363],[57043],[65377],1957,,,
[Mariage364],[54925],[65387],2000,,,
[Mariage365],[65385],[65386],,,,
[Mariage366],[65393],[65394],,,,
[Mariage367],[65396],[65397],,,,
[Mariage368],[55085],[65398],1980,,,
[Mariage369],[50366],[65400],1980,,,
[Mariage370],[55086],[65405],1953,,,
[Mariage371],[65411],[65413],1930,,,
[Mariage372],[65414],[65415],,,,
[Mariage373],[55094],[65416],1980,,,
[Mariage374],[65417],[65418],,,,
[Mariage375],[55098],[65419],1956,,,
[Mariage376],[65422],[65423],,,,
[Mariage377],[55109],[65424],1942,,,
[Mariage378],[65432],[65433],,,,
[Mariage379],[55132],[65434],1955,,,
[Mariage380],[55132],[65435],1978,,,
[Mariage382],[55137],[65475],1952,,,
[Mariage383],[63656],[65478],,,,
[Mariage384],[63649],[65479],1883-12-10,,,
[Mariage385],[65480],[65481],,,,
[Mariage386],[55154],[65482],1980,,,
[Mariage387],[56218],[65484],1937,,,
[Mariage388],[65485],[65486],,,,
[Mariage389],[65487],[65488],,,,
[Mariage390],[63557],[65489],1918,,,
[Mariage391],[65491],[65490],,,,
[Mariage392],[55157],[65492],1965,,,
[Mariage393],[64217],[65494],1957,,,
[Mariage394],[55169],[65495],1958,,,
[Mariage395],[65498],[65499],1922,,,
[Mariage396],[65500],[65501],1883,,,
[Mariage397],[55413],[65510],1957,,,
[Mariage398],[55189],[65512],1980,,,
